"RecordId","OnePerId","OnePerFlag","OrgFlag","GroupFlag","EBDFFlag","MasterRecordId"
"0000444132","0000444132","TRUE","","","TRUE","MA04254776"
"0000444141","0000444141","TRUE","","","TRUE","MA04913918"
"0000444168","","","","","","MA04845421"
"0000444194","0000444194","TRUE","","","TRUE","MA04078632"
"0000444201","0000444201","TRUE","","","TRUE","MA04884998"
"0000444215","0000444215","TRUE","","","TRUE","MA04832919"
"0000444224","0000444224","TRUE","","","TRUE","MA04872379"
"0000444227","0000444227","TRUE","","","TRUE","MA05041615"
"0000444243","0000444243","TRUE","","","TRUE","MA05073018"
"0000444257","0000444257","TRUE","","","","MA04847263"
"0000444308","0000444308","TRUE","","","TRUE","MA04892977"
"0000444366","0000444366","TRUE","","","TRUE","N00018ILSL"
"0000444377","0000444377","TRUE","","","TRUE","MA04781987"
"0000444390","0000444390","TRUE","","","TRUE","MA04894346"
"0000444403","0000444403","TRUE","","","TRUE","MA04309512"
"0000444423","0000444423","TRUE","","","TRUE","MA04845453"
"0000444435","0000444435","TRUE","","","TRUE","MA04845433"
"0000444441","0000444441","TRUE","","","TRUE","MA04257101"
"0000444460","0000444460","TRUE","","","","MA04696371"
"0000444487","0000444487","TRUE","","","TRUE","MA04254731"
"0000444513","0000444513","TRUE","","","TRUE","MA04600523"
"0000444514","0000444514","TRUE","","","TRUE","MA04307591"
"0000444570","0000444570","TRUE","","","TRUE","MA04894413"
"0000444574","0000444574","TRUE","","","TRUE","MF10017291"
"0000444578","0000444578","TRUE","","","TRUE","MA05045646"
"0000444584","0000444584","TRUE","","","TRUE","MA04847564"
"0000444637","0000444637","","","TRUE","TRUE","N0004FFZBO"
"0000444663","0000444663","TRUE","","","TRUE","MA05042652"
"0000444682","0000444682","TRUE","","","TRUE","MA04829356"
"0000444791","0000444791","TRUE","","","TRUE","MA05042643"
"0000444829","0000444829","TRUE","","","TRUE","MR05699794"
"0000444830","0000444830","TRUE","","","TRUE","MA05024431"
"0000444834","0000444834","TRUE","","","TRUE","MF01805950"
"0000444861","0000444861","TRUE","","","TRUE","MA04427063"
"0000444882","0000444882","TRUE","","","TRUE","MA05041651"
"0000444900","0000444900","TRUE","","","TRUE","MA04116908"
"0000444904","0000444904","TRUE","","","TRUE","MA04836141"
"0000444906","0000444906","TRUE","","","TRUE","MA04870967"
"0000444912","0000444912","TRUE","","","TRUE","MA04740988"
"0000444926","0000444926","TRUE","","","TRUE","MF08814092"
"0000444964","0000444964","TRUE","","","TRUE","MA04742101"
"0000444976","0000444976","TRUE","","","TRUE","MA04847561"
"0000444983","0000444983","TRUE","","","TRUE","MA05043019"
"0000444988","0000444988","TRUE","","","TRUE","MA05041780"
"0000445059","0000445059","TRUE","","","TRUE","MA04254644"
"0000445061","0000445061","TRUE","","","TRUE","MA05079700"
"0000445069","0000445069","TRUE","","","TRUE","MA04740543"
"0000445076","","","","TRUE","","N00018NJHT"
